"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.27233395966388e-06,-0.907343231639949,0.071,0.152,0.058639850163086,"Gm12940"
2.29313910528909e-06,-0.178672253502158,0.932,0.952,0.0591767477510902,"Strbp"
2.35491151359638e-06,-0.403754415541354,0.838,0.874,0.0607708465198681,"Ntrk3"
2.44918307294166e-06,-0.893877463158851,0.08,0.163,0.0632036183803326,"Nsg1"
2.45715367920412e-06,0.689696495548583,0.404,0.303,0.0634093078455416,"Tbxas1"
2.54689813070173e-06,-0.765317176710129,0.159,0.257,0.065725253160889,"Gnal"
2.56969109022341e-06,0.64545708381801,0.365,0.266,0.0663134482743055,"Cd180"
2.57577641678624e-06,-0.484220852761949,0.8,0.822,0.0664704862115856,"Rit2"
2.58652653145985e-06,-1.06726746740024,0.041,0.108,0.0667479036708529,"Slitrk4"
2.60691115401945e-06,-1.15658447567141,0.059,0.134,0.067273949240626,"Pcdh19"
2.62087296137828e-06,-0.695218936349406,0.24,0.346,0.0676342476413279,"Reep1"
2.65385349107735e-06,-1.6753495171537,0.051,0.12,0.0684853431907422,"Gm10754"
2.67571322815838e-06,-0.356534700343455,0.885,0.894,0.0690494555658552,"Cnksr2"
2.70662248926794e-06,0.453984703675526,0.562,0.458,0.0698470999580486,"Runx1"
2.71415745214565e-06,-0.458354192969591,0.34,0.458,0.0700415472100706,"Hdgfl3"
2.71863107467692e-06,-0.35716876890094,0.854,0.887,0.0701569935131126,"Syn2"
2.8373483982348e-06,0.396411539116162,0.594,0.48,0.0732206127648471,"Lair1"
2.88371272843973e-06,-0.405548451393735,0.821,0.844,0.0744170906701158,"Nol4"
2.93751633599608e-06,-0.497622111322517,0.782,0.814,0.0758055465667149,"Brinp3"
3.02999158436066e-06,0.484383690974521,0.499,0.395,0.0781919628260111,"Tns3"
3.13094675441394e-06,-0.870678801469144,0.076,0.156,0.0807972119444061,"Unc13c"
3.13297228793591e-06,-1.17119609499889,0.052,0.123,0.0808494828624741,"Lrrc3b"
3.19174374137586e-06,0.562499099960083,0.487,0.388,0.0823661389899455,"Rasgrp3"
3.22384396738585e-06,0.332392895965845,0.97,0.971,0.0831945174223593,"Ddx5"
3.33329163202529e-06,-0.590793102287057,0.453,0.546,0.0860189238560447,"Rab3c"
3.40252558632343e-06,-0.685644466034573,0.897,0.914,0.0878055752806623,"Grid2"
3.48585720350743e-06,0.718039215095485,0.293,0.197,0.0899560309937128,"Dock1"
3.48799593356196e-06,-0.56582270539646,0.526,0.605,0.0900112230615001,"Snrpn"
3.52824826476551e-06,-0.385251974298903,0.834,0.87,0.0910499747205389,"Naaladl2"
3.56786308932619e-06,-0.643011438092022,0.186,0.289,0.0920722748831517,"Bmerb1"
3.79013364627291e-06,-0.898654603420724,0.044,0.111,0.0978081888757186,"Gm13629"
3.79667570077429e-06,-0.326453303640919,0.817,0.847,0.0979770131341812,"Gnao1"
3.88332387775611e-06,0.822800129664752,0.262,0.175,0.100213055989374,"St6gal1"
3.92157715399184e-06,-0.589705903888071,0.112,0.204,0.101200220035913,"Miga1"
4.16525153550361e-06,-1.27021346603269,0.063,0.136,0.107488481125206,"Tmem59l"
4.17534197235981e-06,-0.891757930396293,0.066,0.142,0.107748874938717,"Rnf165"
4.18598776434659e-06,-0.250079721783659,0.964,0.982,0.108023600246728,"Ttc3"
4.19861613822858e-06,-0.689879258338595,0.115,0.207,0.108349488063127,"Tspan3"
4.2490429429367e-06,-0.336601725399881,0.883,0.913,0.109650802185424,"Camta1"
4.29501805487764e-06,0.413863195165183,0.753,0.686,0.110837235924172,"Tmcc3"
4.3096961258101e-06,0.823987370198813,0.33,0.24,0.111216018222655,"Ctsz"
4.30987359125958e-06,-1.32686569579867,0.058,0.128,0.111220597896045,"Eda"
4.38397455020911e-06,0.316203500248773,0.915,0.856,0.113132847242696,"Foxn3"
4.49629637437016e-06,-0.323802721038524,0.839,0.874,0.116031424236996,"Cpe"
4.59827924910278e-06,-1.45106013031971,0.044,0.109,0.118663194302346,"Zkscan16"
4.667315826807e-06,-0.958072813491118,0.076,0.154,0.120444752226581,"Wwc1"
5.16145976523003e-06,-1.19693653102566,0.039,0.102,0.133196630701526,"Vat1l"
