"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.04389285391462,0.364,0.015,0,"10","9630002D21Rik"
0,4.48268050317201,0.295,0.019,0,"10","Rbp4"
0,4.45218076909375,0.462,0.022,0,"10","Kcns3"
0,4.39913342879896,0.334,0.015,0,"10","Moxd1"
0,4.34256928285451,0.312,0.019,0,"10","Mypn"
0,4.24951807564482,0.875,0.091,0,"10","Kcnmb2"
0,6.97992762560246,0.888,0.014,0,"11","Pdgfra"
0,6.75243956733487,0.378,0.005,0,"11","A930009A15Rik"
0,6.74350907577984,0.363,0.004,0,"11","Neu4"
0,6.54345625042967,0.327,0.004,0,"11","Gpr17"
0,6.44240454478745,0.531,0.01,0,"11","C1ql1"
0,6.34787388940772,0.345,0.006,0,"11","Gucy2f"
0,6.18334252361733,0.378,0.008,0,"11","Gm19299"
0,6.09136367780054,0.289,0.006,0,"11","Susd5"
0,6.02094052941702,0.946,0.058,0,"11","Vcan"
0,5.69088170241391,0.589,0.021,0,"11","Emid1"
0,3.89055878721078,0.357,0.032,0,"12","Igfn1"
1.43464106840248e-178,3.70860806456265,0.318,0.067,3.70223474111944e-174,"12","Abi3bp"
0,3.01919006411808,0.968,0.493,0,"12","Tafa1"
0,2.96437209962371,0.976,0.652,0,"12","Tafa2"
1.38761767718759e-212,2.82986751761205,0.29,0.047,3.58088617775031e-208,"12","Gm12371"
8.68780199072101e-165,2.71892607522993,0.261,0.047,2.24197418172546e-160,"12","Plk5"
0,2.70661757677943,0.74,0.215,0,"12","Lmo3"
4.16318657358177e-223,2.69985322890722,0.276,0.04,1.07435192717851e-218,"12","Ccdc3"
0,2.66564292282037,0.827,0.169,0,"12","Tox3"
1.69084497521925e-255,2.64957019992177,0.42,0.082,4.3633945430508e-251,"12","Rasgef1c"
0,6.30002401726084,0.681,0.018,0,"13","Agt"
0,6.22376173378661,0.492,0.01,0,"13","B230323A14Rik"
0,5.96429925372585,0.405,0.011,0,"13","Etnppl"
0,5.73077324146946,0.685,0.031,0,"13","Itih3"
0,4.96779713281927,0.943,0.113,0,"13","Slc6a11"
0,4.16556408462109,0.678,0.057,0,"13","Atp13a4"
0,4.02143770326852,0.729,0.105,0,"13","Lrig1"
0,3.83622920097758,0.577,0.053,0,"13","Slc7a10"
0,3.83264925962944,0.322,0.03,0,"13","Acss3"
0,3.74464584694673,0.375,0.048,0,"13","Gm29683"
0,5.05130280342537,0.262,0.009,0,"14","Fibcd1"
3.55191630325447e-309,4.73741989285597,0.372,0.046,9.16607521217849e-305,"14","4921539H07Rik"
0,4.5108429712769,0.443,0.022,0,"14","2310002F09Rik"
0,4.39129517491146,0.54,0.04,0,"14","Gm2115"
0,4.22324794585437,0.347,0.023,0,"14","Gpr161"
0,3.95494045545987,0.738,0.077,0,"14","Pkp2"
0,3.85332647475283,0.634,0.084,0,"14","Cpne7"
0,3.72604685953907,0.804,0.093,0,"14","Dnah9"
0,3.61687368843924,0.969,0.197,0,"14","Shisa6"
0,3.44605806292062,0.415,0.048,0,"14","Pde11a"
0,10.6337367931096,0.769,0.002,0,"15","Cldn5"
0,10.3356458299299,0.981,0.006,0,"15","Slco1a4"
0,10.2876443048434,0.744,0.002,0,"15","Ly6c1"
0,10.2805766386355,0.919,0.004,0,"15","Adgrl4"
0,10.1605065126028,0.448,0.001,0,"15","Sox17"
0,10.1346278807772,0.315,0,0,"15","Dipk2b"
0,9.88399415522647,0.368,0,0,"15","Robo4"
0,9.52867619163505,0.404,0.001,0,"15","Ctla2a"
0,9.51204254171251,0.61,0.002,0,"15","Zfp366"
0,9.45587690055626,0.323,0.001,0,"15","Tie1"
0,6.74107111758581,0.315,0.003,0,"16","Dsp"
0,5.94924530209575,0.385,0.006,0,"16","C1ql2"
0,5.44492146388955,0.276,0.006,0,"16","Stra6"
0,4.77064423296915,0.355,0.014,0,"16","Gm34567"
0,4.74696208142998,0.334,0.017,0,"16","Gm6999"
0,4.58533916437328,0.461,0.021,0,"16","Ntf3"
0,4.40732301454798,0.358,0.014,0,"16","Vwa3b"
0,4.15888163692111,0.659,0.055,0,"16","Gpc4"
0,4.04338201046075,0.482,0.032,0,"16","Kcng2"
0,4.02609452719266,0.276,0.014,0,"16","Il16"
0,6.5303224339414,0.405,0.004,0,"17","Shox2"
0,6.3496529306204,0.425,0.012,0,"17","Adamts19"
0,6.21609305294953,0.429,0.006,0,"17","Slitrk6"
0,6.11644718523552,0.934,0.065,0,"17","Synpo2"
0,5.60903174683854,0.365,0.01,0,"17","Vipr2"
0,5.49803471251103,0.386,0.01,0,"17","Ramp3"
0,4.99283957814623,0.405,0.012,0,"17","Grid2ip"
0,4.98594079218359,0.47,0.018,0,"17","Tafa4"
0,4.97850876478364,0.554,0.031,0,"17","Prkcd"
0,4.80065685391939,0.411,0.017,0,"17","9330185C12Rik"
0,9.31809478030483,0.575,0.006,0,"18","Vip"
0,8.21177496419802,0.285,0.002,0,"18","Htr3a"
0,5.38318227519663,0.991,0.32,0,"18","Adarb2"
0,5.25980707571828,0.702,0.033,0,"18","Igf1"
0,5.25662919998228,0.408,0.013,0,"18","Npas1"
1.86839105589861e-134,4.52519942815642,0.278,0.041,4.82156995885195e-130,"18","Frem1"
0,4.4519821960647,0.383,0.02,0,"18","Dlx1"
0,4.32429872727999,0.931,0.115,0,"18","Dlx6os1"
0,4.234795710535,0.864,0.189,0,"18","Cnr1"
0,4.09916709874801,0.577,0.045,0,"18","Dlx1as"
0,4.2922139634466,1,0.181,0,"19","Tshz2"
2.47383216189148e-170,2.91151724072687,0.513,0.095,6.38397127697716e-166,"19","Nrep"
3.68259965130347e-182,2.87909859277275,0.474,0.076,9.50331666015374e-178,"19","Neurod6"
2.00255242726792e-97,2.87144493607984,0.474,0.133,5.16778679380759e-93,"19","Vwc2l"
1.06880129587987e-132,2.53905958442337,0.38,0.064,2.75814862414759e-128,"19","Klf5"
4.77829809502907e-198,2.49286127178983,0.878,0.277,1.2330876064032e-193,"19","Tshz3"
2.40727510466325e-96,2.48664609403005,0.276,0.046,6.21221413509398e-92,"19","Igfbp6"
5.88763889007991e-166,2.47573325226047,0.659,0.161,1.51936409197402e-161,"19","Bmper"
4.94462998846552e-101,2.42087063020461,0.349,0.068,1.27601121482341e-96,"19","Coro6"
5.40777416799476e-229,2.39350178460032,0.591,0.091,1.39553020179273e-224,"19","Slc17a6"
0,6.66263605701909,0.387,0.005,0,"20","B020031H02Rik"
0,4.50991829172362,0.261,0.01,0,"20","Gm40663"
0,4.08079550200359,0.994,0.219,0,"20","Foxp2"
5.2004717175615e-179,3.98862836755237,0.466,0.069,1.34203373143392e-174,"20","Chst9"
0,3.98531938195433,0.451,0.033,0,"20","Gm13974"
0,3.9318040845917,0.926,0.174,0,"20","Tshz1"
1.59995747262271e-163,3.79214493291258,0.267,0.024,4.12885025385016e-159,"20","Casz1"
8.10645843780098e-281,3.62261282863906,0.972,0.272,2.09195266445892e-276,"20","Pbx3"
0,3.60553430703253,0.663,0.073,0,"20","Gm49906"
3.43269015063522e-269,3.58903248480452,0.537,0.06,8.85840020272925e-265,"20","Otof"
0,5.51461342603607,0.288,0.007,0,"21","Gm42707"
0,5.39571668807499,0.353,0.009,0,"21","Shoc1"
0,5.12865052822215,0.316,0.01,0,"21","Gm42705"
0,4.09187403626823,0.6,0.058,0,"21","L3mbtl4"
0,3.9250324998002,0.537,0.02,0,"21","Gm6260"
0,3.78984437853324,0.809,0.084,0,"21","Gm19410"
4.1373057182746e-320,3.75186049830027,0.434,0.032,1.06767311365794e-315,"21","Fezf2"
0,3.67720222764175,0.653,0.047,0,"21","Npr3"
1.00251628888205e-164,3.63982944669553,0.25,0.02,2.58709353508902e-160,"21","C7"
2.46868908088811e-201,3.54707739498974,0.984,0.502,6.37069904213985e-197,"21","Tafa1"
0,10.4985834532443,0.533,0.001,0,"22","Prdm6"
0,10.2526908837558,0.395,0.001,0,"22","Slc47a1"
0,10.2243136584229,0.322,0.001,0,"22","Gm5860"
0,8.89596262112994,0.442,0.005,0,"22","Slc26a7"
0,8.65656044773396,0.312,0.001,0,"22","Col3a1"
0,8.55255866757554,0.348,0.002,0,"22","Slc6a13"
0,8.18153410815782,0.699,0.017,0,"22","Bnc2"
0,7.90122444070353,0.293,0.003,0,"22","Aldh1a2"
0,7.67242201426461,0.322,0.003,0,"22","Slc13a4"
0,7.66226570644666,0.667,0.008,0,"22","Col1a2"
0,6.33690028766661,0.668,0.025,0,"23","Npy"
0,5.54046504092133,0.437,0.017,0,"23","Gm41333"
0,5.48995678526666,0.789,0.052,0,"23","Pde11a"
0,5.38443465849806,0.747,0.056,0,"23","Kit"
0,5.31412003326252,0.516,0.016,0,"23","Pnoc"
8.24867103364257e-315,4.75182472335655,0.647,0.048,2.1286520469418e-310,"23","Hcrtr2"
1.28979586413403e-214,4.65670465148829,0.379,0.023,3.32844720698427e-210,"23","Ndnf"
0,4.65123141221843,0.579,0.033,0,"23","Kcns3"
3.89763787675849e-279,4.63871662429541,0.742,0.075,1.0058244304763e-274,"23","Crispld1"
5.28495166566552e-193,4.62774716228838,0.279,0.014,1.36383462684164e-188,"23","Gm28154"
0,5.59147410285389,0.303,0.004,0,"24","Slc17a8"
5.48589445945607e-317,5.273783000853,0.281,0.008,1.41568992420723e-312,"24","Nxph3"
0,5.06261403741953,0.4,0.01,0,"24","Myzap"
2.63585526052044e-301,4.81653894145347,0.973,0.132,6.80208808529906e-297,"24","Vwc2l"
4.08431455144995e-242,4.7682980069612,0.989,0.187,1.05399821314717e-237,"24","Tshz2"
5.36196763023503e-205,4.65200715917113,0.281,0.013,1.38370936665845e-200,"24","Myl4"
2.05867244949763e-314,4.55458578131216,0.514,0.028,5.31261012317357e-310,"24","Col24a1"
4.03916049062001e-228,4.27761968305381,0.514,0.04,1.0423457562094e-223,"24","Col12a1"
1.16239082674178e-273,4.21110206018773,0.519,0.033,2.99966576748985e-269,"24","Fezf2"
5.86702678296707e-206,4.03053239967111,0.405,0.027,1.51404493161248e-201,"24","Trhr"
0,6.472618456132,0.815,0.024,0,"25","Drd3"
6.8181059126092e-322,6.01866800669182,0.265,0.006,1.75948041180793e-317,"25","Lrrc38"
1.35476797208806e-311,5.73929503149913,0.444,0.019,3.49611422877046e-307,"25","Gm12068"
0,5.71040274519983,0.772,0.045,0,"25","Stac"
0,5.37453688694182,0.494,0.018,0,"25","Isl1"
0,5.30936897473338,0.877,0.062,0,"25","Gpr149"
1.4381877562411e-285,4.94133314144159,0.543,0.032,3.71138732375578e-281,"25","Gm45904"
1.19951107098361e-213,4.91882876763933,0.389,0.021,3.09545826978031e-209,"25","Wnt2"
1.27745510722774e-111,4.51220351684487,1,0.671,3.29660064971191e-107,"25","Sgcd"
6.43561085631869e-175,4.4726631984321,0.654,0.08,1.6607737375816e-170,"25","Pkib"
0,5.8006089557081,0.969,0.05,0,"26","Nr4a2"
5.1438945742409e-269,5.6990148443064,0.311,0.01,1.32743343382861e-264,"26","Tfap2d"
0,5.43421487799482,0.267,0.006,0,"26","Gm42397"
